
  0.5018,   0.4571
  0.5160,   0.4379
  0.5258,   0.4171
  0.5245,   0.4139
  0.5143,   0.4220
  0.5009,   0.4366
  0.4720,   0.4510
  0.4415,   0.4589
  0.4103,   0.4618
  0.3805,   0.4535
  0.3578,   0.4376
  0.3419,   0.4200
  0.3311,   0.3961
  0.3294,   0.3673
  0.3372,   0.3399
  0.3526,   0.3148
  0.3726,   0.2969
  0.3956,   0.2823
  0.4181,   0.2735
  0.4391,   0.2662
  0.4611,   0.2581
  0.4862,   0.2508
  0.5153,   0.2422
  0.5495,   0.2391
  0.5839,   0.2513
  0.6147,   0.2657
  0.6371,   0.2894
  0.6579,   0.3140
  0.6750,   0.3360
  0.6926,   0.3578
  0.7053,   0.3846
  0.7204,   0.4129
  0.7321,   0.4488
  0.7392,   0.4899
  0.7394,   0.5387
  0.7306,   0.5907
  0.6996,   0.6462
  0.6554,   0.6911
  0.6034,   0.7170
  0.5475,   0.7306
  0.4930,   0.7275
  0.4459,   0.7114
  0.4085,   0.6833
  0.3780,   0.6530
  0.3519,   0.6166
  0.3321,   0.5785
  0.3187,   0.5360
  0.3148,   0.4889
  0.3189,   0.4391
  0.3343,   0.3961
  0.3541,   0.3531
  0.3795,   0.3077
  0.4161,   0.2703
  0.4618,   0.2425
  0.5153,   0.2254
  0.5651,   0.2222
  0.6081,   0.2308
  0.6484,   0.2425
  0.6801,   0.2596
  0.7140,   0.2740
  0.7477,   0.2974
  0.7790,   0.3255
  0.8056,   0.3551
  0.8300,   0.3929
  0.8545,   0.4317
  0.8825,   0.4774
  0.9060,   0.5358
  0.9228,   0.6132
  0.9179,   0.7038
  0.8877,   0.8002
  0.8298,   0.8950
  0.7443,   0.9673
  0.6440,   0.9834
  0.5331,   0.9846
  0.4215,   0.9846
  0.3167,   0.9851
  0.2278,   0.9849
  0.1516,   0.9846
  0.0952,   0.8259
  0.0611,   0.7104
  0.0454,   0.6112
  0.0464,   0.5162
  0.0615,   0.4249
  0.0867,   0.3380
  0.1243,   0.2491
  0.1788,   0.1707
  0.2415,   0.0989
  0.3167,   0.0364
  0.4039,   0.0073
  0.5062,   0.0042
  0.6154,   0.0037
  0.7363,   0.0034
  0.8615,   0.0039
  0.9653,   0.0037
  0.9832,   0.0039
  0.9841,   0.1890
  0.9846,   0.3844
  0.9846,   0.5582
  0.9846,   0.7265
  0.9844,   0.8791
  0.9849,   0.9734
  0.9849,   0.9836
  0.8867,   0.9846
  0.6562,   0.9849
  0.5382,   0.9849
